title,identifier,URL,notes
Eiffel Tower,"tower, Paris, France",https://www.britannica.com/topic/Eiffel-Tower-Paris-France,
Nile River,"river, Africa",https://www.britannica.com/place/Nile-River,
Loch Ness,"lake, Scotland, United Kingdom",https://www.britannica.com/place/Loch-Ness-lake-Scotland-United-Kingdom,
New Delhi,"national capital, India",https://www.britannica.com/place/Delhi,
Chicago,"Illinois, United States",https://www.britannica.com/place/Illinois-state,
Tierra del Fuego,"archipelago, South America",https://www.britannica.com/place/Tierra-del-Fuego-archipelago-South-America,
Pentagon,"building, Arlington, Virginia, United States",https://www.britannica.com/topic/Pentagon,
Panama Canal,"canal, Central America",https://www.britannica.com/topic/Panama-Canal,
Red Square,"square, Moscow, Russia",https://www.britannica.com/topic/Red-Square,
Bosporus,"strait, Turkey",https://www.britannica.com/place/Bosporus,
Grand Canyon National Park,"national park, Arizona, United States",https://www.britannica.com/place/Grand-Canyon-National-Park,
Kilimanjaro,"mountain, Tanzania",https://www.britannica.com/place/Kilimanjaro,
Andes Mountains,"mountain system, South America",https://www.britannica.com/place/Andes-Mountains,
Sydney Harbour Bridge,"bridge, Sydney, New South Wales, Australia",https://www.britannica.com/topic/Sydney-Harbour-Bridge,
Ginza,"district, Tokyo, Japan",https://www.britannica.com/place/Ginza-Japan,
Carthage,"ancient city, Tunisia",https://www.britannica.com/place/Carthage-ancient-city-Tunisia,
Amazon Rainforest,"region, South America",https://www.britannica.com/place/Amazon-Rainforest,
Langjökull,"glacier, Iceland",https://www.britannica.com/place/Langjokull,
South Pole,"South Pole, Antarctica",https://www.britannica.com/place/South-Pole,
Colorado,"Colorado State, United States",https://www.britannica.com/place/Colorado-state,
Woodstock,"Woodstock, New York, United States",https://www.britannica.com/event/Woodstock,
Field Museum,"museum, Chicago, Illinois, United States",https://www.britannica.com/topic/Field-Museum,
Shedd Aquarium,"aquarium, Chicago, Illinois, United States",https://www.britannica.com/topic/Shedd-Aquarium,
Wrigley Field,"baseball park, Chicago, Illinois, United States",https://www.britannica.com/place/Wrigley-Field,
Illinois River,"river, Illinois, United States",https://www.britannica.com/place/Illinois-River,
Illinois,"state, United States",https://www.britannica.com/place/Illinois-state,
Quad Cities,"industrial area, Illinois-Iowa, United States",https://www.britannica.com/place/Quad-Cities,
Wisconsin Dells,"resort area, Wisconsin, United States",https://www.britannica.com/place/Wisconsin-Dells-resort-area-Wisconsin,
Aurora,"Illinois, United States",https://www.britannica.com/place/Aurora-Illinois,
Museum of Science and Industry,"museum, Chicago, Illinois, United States",https://www.britannica.com/topic/Museum-of-Science-and-Industry,
Rockford,"Illinois, United States",https://www.britannica.com/place/Rockford,
University of Notre Dame,"university, Notre Dame, Indiana, United States",https://www.britannica.com/topic/University-of-Notre-Dame,
American Airlines flight 191,"aviation disaster, Chicago, Illinois, United States [1979]",https://www.britannica.com/event/American-Airlines-Flight-191,"42.009722, -87.929167"
